"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(43, 19)","(55, 36)","(46, 51)","(25, 55)","(13, 38)","(25, 20)"
"(43, 19)","(55, 36)","(46, 51)","(27, 56)","(13, 35)","(25, 20)"
"(43, 19)","(55, 36)","(46, 51)","(27, 56)","(13, 35)","(25, 20)"
"(43, 19)","(55, 36)","(46, 51)","(27, 56)","(15, 39)","(25, 20)"
"(43, 19)","(55, 36)","(46, 51)","(27, 56)","(15, 39)","(25, 20)"
"(43, 19)","(55, 36)","(46, 51)","(27, 56)","(15, 39)","(25, 20)"
"(43, 19)","(55, 36)","(46, 51)","(27, 56)","(15, 39)","(25, 20)"
"(43, 19)","(55, 32)","(50, 47)","(25, 55)","(13, 38)","(24, 24)"
"(43, 19)","(55, 32)","(50, 47)","(25, 55)","(13, 38)","(24, 24)"
"(46, 20)","(55, 32)","(50, 47)","(25, 55)","(13, 38)","(24, 24)"
"(46, 20)","(55, 32)","(50, 47)","(25, 55)","(13, 38)","(24, 24)"
"(46, 20)","(55, 32)","(50, 47)","(25, 55)","(13, 38)","(24, 24)"
"(43, 19)","(55, 36)","(46, 51)","(27, 56)","(13, 38)","(30, 20)"
"(43, 19)","(55, 32)","(50, 47)","(27, 56)","(13, 35)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(13, 35)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(13, 35)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(13, 35)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(13, 35)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(13, 35)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(12, 38)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(13, 35)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(12, 38)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 34)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 34)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 34)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 34)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 34)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 34)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 34)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 34)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 34)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(14, 34)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(12, 38)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(12, 38)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(12, 38)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(12, 38)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(12, 38)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(12, 38)","(25, 20)"
"(42, 19)","(55, 35)","(46, 51)","(27, 56)","(12, 38)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 32)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 33)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 33)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 33)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 33)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 33)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 33)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 33)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 33)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 33)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 33)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 33)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 33)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
"(44, 20)","(55, 33)","(49, 48)","(25, 55)","(14, 34)","(25, 20)"
