"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(170, 60)","(171, 83)","(187, 91)","(211, 86)","(210, 62)","(193, 53)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(210, 62)","(193, 53)"
"(191, 6)","(169, 12)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(210, 62)","(193, 53)"
"(191, 6)","(169, 12)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(171, 59)","(170, 82)","(187, 91)","(211, 86)","(210, 62)","(193, 53)"
"(193, 53)","(169, 65)","(169, 80)","(187, 91)","(212, 84)","(211, 63)"
"(173, 63)","(190, 57)","(205, 63)","(208, 83)","(184, 86)","(172, 77)"
"(193, 53)","(169, 65)","(170, 82)","(187, 91)","(212, 84)","(211, 63)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(210, 62)","(193, 53)"
"(171, 59)","(172, 83)","(187, 91)","(210, 88)","(211, 63)","(194, 54)"
"(194, 7)","(173, 9)","(160, 28)","(175, 49)","(198, 42)","(207, 26)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(194, 7)","(173, 9)","(159, 29)","(175, 49)","(198, 42)","(207, 26)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(194, 7)","(173, 9)","(159, 29)","(175, 49)","(198, 42)","(207, 26)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
"(194, 7)","(173, 9)","(159, 29)","(175, 49)","(198, 42)","(207, 26)"
"(171, 59)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(194, 54)"
