"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(111, 82)","(127, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(124, 110)","(148, 107)","(147, 80)","(131, 72)"
"(111, 82)","(127, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 72)"
"(111, 82)","(127, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 72)"
"(111, 82)","(127, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 72)"
"(111, 82)","(127, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 72)"
"(111, 82)","(127, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 72)"
"(111, 82)","(127, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 72)"
"(111, 82)","(127, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 72)"
"(111, 82)","(127, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 72)"
"(111, 82)","(128, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 72)"
"(111, 82)","(128, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 72)"
"(111, 82)","(128, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 72)"
"(111, 82)","(128, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 72)"
"(111, 82)","(128, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 72)"
"(111, 82)","(128, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 73)"
"(111, 82)","(128, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 73)"
"(111, 82)","(128, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 73)"
"(111, 82)","(127, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 73)"
"(111, 82)","(127, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 73)"
"(111, 82)","(127, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
"(109, 78)","(110, 102)","(125, 110)","(149, 105)","(147, 80)","(131, 73)"
"(111, 82)","(127, 76)","(143, 82)","(146, 102)","(122, 105)","(110, 96)"
