"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Duration
"(51, 19)","(50, 40)","(71, 51)","(93, 45)","(90, 22)","(73, 13)",32s
"(51, 19)","(50, 40)","(72, 51)","(93, 45)","(90, 22)","(71, 13)",
"(51, 19)","(50, 40)","(72, 51)","(93, 45)","(90, 22)","(71, 13)",
"(51, 19)","(50, 40)","(72, 51)","(93, 45)","(90, 22)","(71, 13)",
"(51, 19)","(50, 40)","(68, 51)","(93, 45)","(90, 22)","(71, 13)",
"(51, 19)","(50, 40)","(72, 51)","(93, 45)","(90, 22)","(71, 13)",
"(51, 19)","(50, 40)","(72, 51)","(93, 45)","(90, 22)","(71, 13)",
"(51, 19)","(50, 40)","(68, 51)","(93, 45)","(90, 22)","(71, 13)",
"(51, 19)","(50, 40)","(68, 51)","(93, 45)","(90, 22)","(71, 13)",
"(51, 19)","(50, 40)","(72, 51)","(93, 45)","(90, 22)","(71, 13)",
"(51, 19)","(50, 40)","(72, 51)","(93, 45)","(90, 22)","(71, 13)",
"(51, 19)","(50, 40)","(72, 51)","(93, 45)","(90, 22)","(71, 13)",
"(73, 16)","(89, 27)","(89, 41)","(70, 48)","(52, 37)","(53, 23)",
"(51, 19)","(50, 40)","(71, 51)","(93, 45)","(90, 22)","(71, 13)",
"(73, 16)","(89, 27)","(89, 41)","(70, 48)","(52, 37)","(53, 23)",
"(51, 19)","(50, 40)","(71, 51)","(93, 45)","(90, 22)","(71, 13)",
"(73, 16)","(89, 27)","(89, 41)","(70, 48)","(52, 37)","(53, 23)",
"(51, 19)","(50, 40)","(68, 51)","(93, 45)","(90, 22)","(71, 13)",
"(73, 16)","(89, 27)","(89, 41)","(70, 48)","(52, 37)","(53, 23)",
"(51, 19)","(50, 40)","(71, 51)","(93, 45)","(90, 22)","(71, 13)",
"(73, 16)","(89, 27)","(89, 41)","(70, 48)","(52, 37)","(53, 23)",
"(51, 19)","(53, 43)","(68, 51)","(91, 48)","(90, 22)","(71, 13)",
"(73, 16)","(89, 27)","(89, 41)","(70, 48)","(52, 37)","(53, 23)",
"(51, 19)","(53, 43)","(68, 51)","(91, 48)","(90, 22)","(71, 13)",
"(73, 16)","(89, 27)","(89, 41)","(70, 48)","(52, 37)","(53, 23)",
"(51, 19)","(53, 43)","(68, 51)","(91, 48)","(90, 22)","(71, 13)",
"(73, 16)","(88, 25)","(89, 41)","(70, 48)","(52, 37)","(53, 23)",
"(51, 19)","(50, 40)","(71, 51)","(93, 45)","(90, 22)","(74, 14)",
"(73, 16)","(89, 27)","(89, 41)","(70, 48)","(52, 37)","(53, 23)",
"(51, 19)","(51, 42)","(68, 51)","(91, 48)","(90, 22)","(74, 14)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(74, 14)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(74, 14)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(74, 14)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(72, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(72, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 16)","(51, 42)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(54, 22)","(72, 16)","(89, 27)","(88, 43)","(64, 46)","(53, 37)",
"(52, 16)","(49, 40)","(67, 51)","(91, 46)","(90, 22)","(72, 13)",
"(52, 16)","(49, 40)","(67, 51)","(91, 46)","(90, 22)","(71, 13)",
"(52, 18)","(53, 43)","(67, 51)","(91, 46)","(90, 22)","(73, 14)",
"(52, 18)","(53, 43)","(67, 51)","(91, 46)","(90, 22)","(75, 14)",
"(52, 18)","(53, 43)","(67, 51)","(91, 46)","(90, 22)","(75, 14)",
"(52, 18)","(53, 43)","(67, 51)","(91, 46)","(90, 22)","(75, 14)",
"(52, 18)","(53, 43)","(67, 51)","(91, 46)","(90, 22)","(75, 14)",
"(52, 18)","(53, 43)","(67, 51)","(91, 46)","(90, 22)","(75, 14)",
"(52, 18)","(53, 43)","(67, 51)","(91, 46)","(90, 22)","(74, 14)",
"(52, 18)","(53, 43)","(67, 51)","(91, 46)","(90, 22)","(74, 14)",
"(52, 16)","(53, 43)","(68, 51)","(93, 44)","(89, 21)","(75, 14)",
"(52, 16)","(53, 43)","(68, 51)","(93, 44)","(89, 21)","(75, 14)",
"(52, 16)","(53, 43)","(68, 51)","(93, 44)","(89, 21)","(73, 13)",
"(52, 16)","(53, 43)","(68, 51)","(93, 44)","(89, 21)","(73, 13)",
"(52, 16)","(54, 44)","(68, 51)","(93, 44)","(89, 21)","(73, 13)",
"(52, 16)","(54, 44)","(68, 51)","(93, 44)","(89, 21)","(73, 13)",
"(52, 16)","(54, 44)","(68, 51)","(93, 44)","(89, 21)","(73, 13)",
"(52, 16)","(54, 44)","(68, 51)","(93, 44)","(89, 21)","(73, 13)",
"(52, 16)","(54, 44)","(68, 51)","(93, 44)","(89, 21)","(72, 13)",
"(52, 16)","(53, 43)","(68, 51)","(93, 44)","(89, 21)","(72, 13)",
"(52, 16)","(53, 43)","(68, 51)","(93, 44)","(89, 21)","(75, 14)",
"(52, 16)","(53, 43)","(68, 51)","(93, 44)","(89, 21)","(75, 14)",
