"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS(Frame Per Second)
"(33, 23)","(52, 16)","(69, 27)","(68, 43)","(44, 46)","(32, 37)",2025:01:22_20:14,2025:01:22_10:01,51225s,1
"(32, 16)","(31, 42)","(48, 51)","(71, 46)","(70, 22)","(54, 14)",,,,
"(33, 23)","(52, 16)","(69, 27)","(68, 43)","(44, 46)","(32, 37)",,,,
"(31, 18)","(34, 44)","(48, 51)","(73, 44)","(70, 22)","(51, 13)",,,,
"(33, 23)","(52, 16)","(69, 26)","(68, 43)","(52, 48)","(33, 38)",,,,
"(31, 18)","(31, 42)","(48, 51)","(73, 44)","(70, 22)","(54, 14)",,,,
"(33, 23)","(51, 16)","(69, 27)","(68, 43)","(50, 48)","(33, 38)",,,,
"(32, 17)","(31, 42)","(48, 51)","(71, 46)","(70, 22)","(52, 13)",,,,
"(33, 23)","(51, 16)","(69, 27)","(68, 43)","(50, 48)","(33, 38)",,,,
"(32, 17)","(31, 42)","(48, 51)","(71, 46)","(70, 22)","(52, 13)",,,,
"(33, 23)","(52, 16)","(66, 23)","(68, 43)","(44, 46)","(32, 37)",,,,
"(30, 20)","(32, 43)","(48, 51)","(73, 44)","(71, 22)","(53, 13)",,,,
"(34, 22)","(52, 16)","(66, 23)","(68, 43)","(44, 46)","(32, 37)",,,,
"(32, 16)","(32, 43)","(48, 51)","(73, 44)","(71, 22)","(53, 13)",,,,
"(30, 20)","(32, 43)","(48, 51)","(73, 44)","(71, 22)","(53, 13)",,,,
"(53, 16)","(68, 25)","(69, 41)","(50, 48)","(33, 38)","(33, 23)",,,,
"(33, 23)","(53, 16)","(68, 26)","(68, 43)","(50, 48)","(32, 36)",,,,
"(31, 19)","(32, 43)","(48, 51)","(73, 44)","(69, 21)","(53, 13)",,,,
"(33, 23)","(53, 16)","(68, 26)","(68, 43)","(50, 48)","(32, 36)",,,,
"(31, 19)","(32, 43)","(48, 51)","(73, 44)","(68, 21)","(53, 13)",,,,
"(32, 16)","(32, 43)","(47, 51)","(73, 44)","(69, 21)","(54, 14)",,,,
"(32, 16)","(32, 43)","(47, 51)","(73, 44)","(70, 22)","(54, 14)",,,,
"(53, 16)","(68, 25)","(69, 41)","(50, 48)","(33, 38)","(33, 24)",,,,
"(31, 18)","(30, 40)","(50, 51)","(73, 44)","(70, 22)","(53, 13)",,,,
"(31, 18)","(31, 42)","(48, 51)","(72, 46)","(70, 22)","(53, 13)",,,,
"(31, 18)","(31, 42)","(48, 51)","(72, 46)","(70, 22)","(52, 13)",,,,
"(33, 23)","(49, 17)","(69, 27)","(68, 43)","(52, 48)","(33, 38)",,,,
"(32, 16)","(32, 43)","(48, 51)","(72, 45)","(70, 22)","(55, 14)",,,,
"(32, 16)","(32, 43)","(48, 51)","(72, 45)","(70, 22)","(55, 14)",,,,
"(32, 16)","(30, 41)","(47, 51)","(73, 44)","(70, 22)","(52, 13)",,,,
"(52, 16)","(68, 25)","(69, 41)","(50, 48)","(33, 38)","(32, 25)",,,,
"(52, 16)","(68, 25)","(69, 41)","(50, 48)","(33, 38)","(32, 25)",,,,
"(53, 16)","(69, 26)","(69, 41)","(50, 48)","(33, 38)","(33, 24)",,,,
"(32, 17)","(31, 42)","(48, 51)","(71, 46)","(70, 22)","(52, 13)",,,,
"(53, 16)","(68, 26)","(69, 41)","(50, 48)","(33, 38)","(33, 24)",,,,
"(32, 17)","(31, 42)","(48, 51)","(71, 46)","(70, 22)","(52, 13)",,,,
"(32, 16)","(32, 43)","(48, 51)","(70, 47)","(71, 22)","(53, 14)",,,,
"(32, 16)","(32, 43)","(48, 51)","(70, 47)","(71, 22)","(54, 14)",,,,
"(53, 16)","(69, 26)","(69, 41)","(49, 48)","(33, 38)","(33, 24)",,,,
"(32, 18)","(32, 43)","(47, 51)","(70, 47)","(70, 22)","(53, 14)",,,,
"(53, 16)","(69, 26)","(69, 41)","(50, 48)","(33, 38)","(33, 24)",,,,
"(32, 16)","(32, 43)","(47, 51)","(70, 47)","(70, 22)","(53, 14)",,,,
"(32, 16)","(32, 43)","(48, 51)","(70, 47)","(70, 22)","(53, 14)",,,,
"(54, 13)","(30, 20)","(30, 40)","(47, 51)","(73, 44)","(70, 21)",,,,
"(30, 20)","(30, 40)","(50, 51)","(73, 44)","(70, 21)","(56, 14)",,,,
"(30, 20)","(32, 43)","(48, 51)","(73, 44)","(69, 21)","(54, 14)",,,,
"(34, 22)","(54, 17)","(66, 23)","(68, 43)","(52, 48)","(33, 38)",,,,
"(35, 21)","(53, 17)","(66, 23)","(68, 43)","(52, 50)","(34, 40)",,,,
"(35, 21)","(53, 17)","(66, 23)","(68, 43)","(52, 50)","(34, 40)",,,,
"(35, 21)","(53, 17)","(66, 23)","(68, 43)","(52, 50)","(34, 40)",,,,
"(33, 23)","(51, 16)","(66, 23)","(68, 43)","(44, 46)","(32, 37)",,,,
"(32, 18)","(31, 42)","(48, 51)","(71, 46)","(70, 22)","(55, 14)",,,,
"(33, 23)","(52, 16)","(69, 27)","(68, 43)","(44, 46)","(32, 37)",,,,
"(31, 18)","(30, 40)","(51, 51)","(73, 44)","(70, 22)","(54, 14)",,,,
"(33, 23)","(52, 16)","(69, 27)","(68, 43)","(44, 46)","(32, 37)",,,,
"(31, 18)","(30, 40)","(51, 51)","(73, 44)","(70, 22)","(54, 14)",,,,
"(30, 20)","(30, 39)","(51, 51)","(73, 43)","(70, 22)","(54, 14)",,,,
"(53, 16)","(68, 25)","(69, 41)","(50, 48)","(32, 37)","(33, 23)",,,,
