Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
2025:01:23_16:23,2025:01:23_16:23,1s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:23,2s,1,0,0,0.0
"(41, 28)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:24,3s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,5s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,6s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,7s,1,0,0,0.0
"(40, 30)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,8s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(77, 31)","(59, 24)",
2025:01:23_16:23,2025:01:23_16:24,9s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 59)","(78, 32)","(60, 24)",
2025:01:23_16:23,2025:01:23_16:24,10s,1,0,0,0.0
"(42, 34)","(57, 28)","(78, 38)","(77, 54)","(59, 59)","(41, 48)",
"(63, 24)","(39, 32)","(39, 52)","(55, 61)","(81, 55)","(80, 34)",
2025:01:23_16:23,2025:01:23_16:24,11s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,12s,1,0,0,0.0
"(40, 29)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,13s,1,0,0,0.0
"(42, 34)","(57, 28)","(73, 33)","(77, 54)","(59, 59)","(41, 48)",
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,14s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:24,15s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:24,16s,1,0,0,0.0
"(43, 34)","(58, 28)","(73, 33)","(77, 54)","(59, 59)","(41, 48)",
"(62, 24)","(39, 32)","(38, 49)","(55, 61)","(81, 55)","(80, 34)",
2025:01:23_16:23,2025:01:23_16:24,17s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(77, 31)","(60, 24)",
2025:01:23_16:23,2025:01:23_16:24,18s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,19s,1,0,0,0.0
"(42, 34)","(58, 28)","(73, 33)","(77, 54)","(59, 59)","(46, 53)",
2025:01:23_16:23,2025:01:23_16:24,20s,1,0,0,0.0
"(40, 29)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,21s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,22s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:24,23s,1,0,0,0.0
"(40, 30)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(63, 25)",
2025:01:23_16:23,2025:01:23_16:24,24s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,25s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,26s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,27s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 33)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,29s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(77, 31)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,30s,1,0,0,0.0
"(42, 34)","(57, 28)","(75, 34)","(77, 54)","(53, 57)","(42, 49)",
2025:01:23_16:23,2025:01:23_16:24,31s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,32s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,33s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,34s,1,0,0,0.0
2025:01:23_16:23,2025:01:23_16:24,35s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:24,36s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(63, 24)",
2025:01:23_16:23,2025:01:23_16:24,37s,1,0,0,0.0
"(40, 29)","(41, 54)","(55, 61)","(80, 57)","(78, 32)","(62, 24)",
2025:01:23_16:23,2025:01:23_16:24,38s,1,0,0,0.0
"(39, 31)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(64, 25)",
2025:01:23_16:23,2025:01:23_16:24,39s,1,0,0,0.0
"(39, 32)","(41, 54)","(55, 61)","(80, 57)","(79, 32)","(63, 25)",
