(x1,y1),(x2,y2),(x3,y3),(x4,y4),(x5,y5),(x6,y6),Start Time,Stop Time,Duration,FPS(Frame Per Second),Red Warning,Orange Warning,Wind Warning
"(24, 24)","(26, 46)","(40, 53)","(65, 49)","(63, 24)","(47, 16)"
"(24, 24)","(26, 46)","(40, 53)","(65, 49)","(64, 25)","(48, 17)"
"(24, 23)","(26, 46)","(43, 54)","(66, 47)","(66, 28)","(52, 18)"
"(25, 21)","(26, 46)","(42, 54)","(66, 47)","(64, 25)","(49, 17)"
"(26, 21)","(26, 46)","(43, 54)","(66, 47)","(64, 25)","(48, 17)"
"(24, 23)","(27, 47)","(42, 54)","(64, 51)","(64, 24)","(49, 17)"
"(25, 22)","(27, 47)","(41, 54)","(66, 48)","(62, 24)","(48, 17)"
"(65, 25)","(48, 16)","(28, 20)","(25, 45)","(39, 53)","(64, 50)"
"(25, 22)","(26, 46)","(46, 54)","(65, 49)","(64, 25)","(48, 16)"
"(25, 22)","(26, 46)","(40, 53)","(65, 49)","(64, 24)","(48, 16)"
"(25, 22)","(27, 47)","(42, 54)","(65, 49)","(64, 25)","(48, 16)"
"(24, 24)","(26, 46)","(42, 54)","(65, 49)","(64, 25)","(48, 17)"
"(27, 26)","(50, 21)","(62, 29)","(63, 45)","(47, 51)","(30, 45)"
"(24, 23)","(27, 47)","(41, 54)","(65, 49)","(63, 24)","(48, 17)"
"(24, 24)","(26, 46)","(39, 53)","(65, 49)","(64, 25)","(48, 17)"
"(25, 21)","(26, 46)","(41, 54)","(65, 49)","(63, 24)","(47, 17)"
"(48, 16)","(24, 24)","(23, 42)","(40, 53)","(66, 47)","(65, 26)"
"(26, 20)","(26, 46)","(39, 53)","(65, 49)","(64, 25)","(47, 16)"
"(27, 26)","(44, 20)","(63, 31)","(62, 46)","(43, 51)","(30, 45)"
"(25, 22)","(26, 46)","(42, 54)","(66, 47)","(62, 24)","(48, 17)"
"(24, 23)","(26, 46)","(39, 53)","(65, 49)","(64, 24)","(48, 17)"
"(25, 21)","(26, 46)","(39, 53)","(65, 49)","(64, 25)","(48, 16)"
"(24, 23)","(26, 46)","(39, 53)","(65, 49)","(64, 24)","(47, 16)"
"(24, 23)","(26, 46)","(40, 53)","(65, 49)","(64, 25)","(48, 16)"
"(24, 24)","(26, 46)","(40, 53)","(65, 49)","(64, 25)","(48, 16)"
"(26, 20)","(26, 46)","(39, 53)","(65, 49)","(64, 25)","(47, 16)"
"(24, 23)","(26, 46)","(39, 53)","(65, 49)","(64, 24)","(44, 16)"
"(48, 16)","(24, 23)","(23, 42)","(39, 53)","(66, 47)","(65, 26)"
