(x1,y1),(x2,y2),(x3,y3),(x4,y4),(x5,y5),(x6,y6),Start Time,Stop Time,Duration,FPS(Frame Per Second),Red Warning,Orange Warning,Wind Warning,FPS,"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(27, 29)","(42, 23)","(62, 31)","(62, 49)","(44, 54)","(30, 48)",,,,,,,,,,,,,,,,,,,,
"(24, 26)","(26, 49)","(39, 56)","(65, 52)","(64, 28)","(48, 19)",,,,,,,,,,,,,,,,,,,,
"(48, 19)","(24, 26)","(24, 47)","(40, 56)","(66, 50)","(64, 28)",,,,,,,,,,,,,,,,,,,,
"(27, 29)","(43, 23)","(59, 29)","(62, 49)","(43, 54)","(30, 48)",,,,,,,,,,,,,,,,,,,,
"(25, 24)","(23, 45)","(39, 56)","(66, 51)","(64, 28)","(47, 19)",,,,,,,,,,,,,,,,,,,,
"(25, 24)","(26, 49)","(39, 56)","(65, 52)","(64, 28)","(48, 20)",,,,,,,,,,,,,,,,,,,,
"(27, 29)","(43, 23)","(63, 34)","(62, 49)","(44, 54)","(30, 48)",,,,,,,,,,,,,,,,,,,,
"(24, 26)","(26, 49)","(42, 57)","(65, 52)","(64, 28)","(48, 20)",,,,,,,,,,,,,,,,,,,,
"(25, 24)","(26, 49)","(45, 57)","(64, 54)","(64, 28)","(49, 20)",,,,,,,,,,,,,,,,,,,,
"(24, 26)","(26, 49)","(45, 57)","(66, 51)","(64, 28)","(49, 20)",,,,,,,,,,,,,,,,,,,,
"(24, 26)","(26, 49)","(40, 56)","(66, 51)","(63, 27)","(48, 19)",,,,,,,,,,,,,,,,,,,,
"(24, 26)","(26, 49)","(45, 57)","(66, 51)","(61, 26)","(49, 20)",,,,,,,,,,,,,,,,,,,,
"(24, 26)","(23, 45)","(46, 57)","(66, 50)","(64, 27)","(49, 20)",,,,,,,,,,,,,,,,,,,,
"(24, 26)","(26, 49)","(39, 56)","(65, 52)","(64, 27)","(48, 20)",,,,,,,,,,,,,,,,,,,,
"(27, 29)","(43, 23)","(62, 31)","(62, 49)","(38, 52)","(26, 44)",,,,,,,,,,,,,,,,,,,,
"(24, 26)","(26, 49)","(39, 56)","(66, 51)","(64, 28)","(47, 19)",,,,,,,,,,,,,,,,,,,,
"(24, 26)","(26, 49)","(39, 56)","(66, 51)","(64, 28)","(44, 19)",,,,,,,,,,,,,,,,,,,,
"(27, 29)","(43, 23)","(58, 28)","(62, 49)","(44, 54)","(26, 43)",,,,,,,,,,,,,,,,,,,,
"(64, 27)","(48, 19)","(26, 24)","(25, 48)","(39, 56)","(64, 53)",,,,,,,,,,,,,,,,,,,,
"(27, 29)","(43, 23)","(58, 28)","(62, 49)","(44, 54)","(31, 48)",,,,,,,,,,,,,,,,,,,,
"(24, 26)","(26, 49)","(39, 56)","(65, 52)","(64, 28)","(47, 19)",,,,,,,,,,,,,,,,,,,,
