(x1,y1),(x2,y2),(x3,y3),(x4,y4),(x5,y5),(x6,y6)
"(45, 21)","(47, 44)","(66, 52)","(86, 47)","(83, 22)","(69, 15)"
"(46, 19)","(47, 44)","(64, 52)","(87, 45)","(83, 22)","(69, 15)"
"(45, 21)","(47, 44)","(64, 52)","(87, 45)","(83, 22)","(69, 15)"
"(46, 19)","(47, 44)","(67, 52)","(87, 45)","(83, 22)","(69, 15)"
"(48, 24)","(65, 18)","(84, 29)","(83, 44)","(65, 49)","(51, 43)"
"(45, 21)","(47, 44)","(67, 52)","(87, 45)","(83, 22)","(69, 15)"
"(48, 24)","(64, 18)","(84, 29)","(83, 44)","(65, 49)","(51, 43)"
"(45, 21)","(47, 44)","(67, 52)","(86, 47)","(85, 23)","(69, 15)"
"(45, 21)","(47, 44)","(67, 52)","(86, 47)","(83, 22)","(69, 15)"
"(45, 21)","(47, 44)","(67, 52)","(86, 47)","(85, 23)","(69, 15)"
"(45, 21)","(47, 44)","(67, 52)","(86, 47)","(85, 23)","(69, 15)"
"(45, 21)","(47, 44)","(67, 52)","(87, 45)","(83, 22)","(70, 15)"
"(45, 21)","(47, 44)","(66, 52)","(87, 45)","(83, 22)","(70, 15)"
"(45, 21)","(47, 44)","(61, 51)","(86, 47)","(83, 22)","(67, 14)"
"(48, 24)","(64, 18)","(79, 23)","(83, 44)","(59, 47)","(47, 39)"
"(45, 21)","(47, 44)","(67, 52)","(86, 47)","(83, 22)","(65, 14)"
"(45, 21)","(47, 44)","(67, 52)","(86, 47)","(83, 22)","(69, 15)"
"(45, 21)","(47, 44)","(67, 52)","(86, 47)","(83, 22)","(65, 14)"
"(48, 24)","(65, 18)","(84, 29)","(83, 44)","(65, 49)","(51, 43)"
"(45, 21)","(47, 44)","(65, 52)","(86, 47)","(85, 23)","(69, 15)"
"(45, 21)","(47, 44)","(64, 52)","(86, 47)","(85, 23)","(69, 15)"
"(46, 19)","(47, 44)","(64, 52)","(86, 47)","(85, 23)","(69, 15)"
"(48, 24)","(64, 18)","(83, 26)","(83, 44)","(67, 49)","(47, 39)"
"(46, 19)","(47, 44)","(60, 51)","(87, 45)","(85, 23)","(65, 14)"
"(46, 19)","(47, 44)","(60, 51)","(87, 45)","(85, 23)","(65, 14)"
"(48, 24)","(64, 18)","(84, 29)","(83, 44)","(65, 49)","(51, 43)"
"(46, 19)","(47, 44)","(63, 52)","(86, 47)","(85, 23)","(65, 14)"
"(46, 19)","(47, 44)","(63, 52)","(86, 47)","(83, 22)","(65, 14)"
"(46, 19)","(47, 44)","(66, 52)","(86, 47)","(85, 23)","(70, 15)"
"(46, 19)","(47, 44)","(66, 52)","(86, 47)","(85, 23)","(70, 15)"
"(46, 19)","(47, 44)","(66, 52)","(85, 48)","(85, 23)","(70, 15)"
"(45, 21)","(47, 44)","(63, 52)","(87, 45)","(83, 22)","(69, 15)"
"(45, 21)","(47, 44)","(63, 52)","(87, 45)","(83, 22)","(69, 15)"
"(45, 21)","(47, 44)","(67, 52)","(86, 47)","(83, 22)","(65, 14)"
"(45, 21)","(47, 44)","(67, 52)","(86, 47)","(83, 22)","(65, 14)"
"(45, 21)","(47, 44)","(66, 52)","(86, 47)","(83, 22)","(70, 15)"
"(45, 21)","(47, 44)","(64, 52)","(86, 47)","(83, 22)","(65, 14)"
"(46, 19)","(47, 44)","(63, 52)","(86, 47)","(83, 22)","(67, 14)"
"(46, 19)","(47, 44)","(63, 52)","(86, 47)","(83, 22)","(69, 15)"
