"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Duration
"(33, 23)","(35, 46)","(49, 53)","(74, 49)","(73, 25)","(57, 17)",34s
"(56, 16)","(37, 20)","(32, 43)","(49, 53)","(75, 47)","(74, 26)",
"(36, 26)","(52, 20)","(69, 26)","(71, 46)","(53, 51)","(35, 40)",
"(56, 16)","(37, 20)","(32, 43)","(49, 53)","(75, 47)","(74, 26)",
"(33, 24)","(35, 46)","(49, 53)","(74, 49)","(73, 24)","(57, 17)",
"(56, 16)","(35, 20)","(33, 44)","(49, 53)","(75, 47)","(74, 26)",
"(33, 23)","(35, 46)","(49, 53)","(75, 47)","(73, 25)","(57, 17)",
"(33, 23)","(35, 46)","(48, 53)","(75, 47)","(73, 25)","(57, 17)",
"(33, 23)","(35, 46)","(48, 53)","(75, 47)","(73, 25)","(57, 17)",
"(33, 23)","(35, 46)","(49, 53)","(74, 49)","(73, 25)","(57, 17)",
"(33, 23)","(35, 46)","(49, 53)","(74, 49)","(73, 25)","(57, 17)",
"(33, 23)","(35, 46)","(49, 53)","(74, 49)","(73, 25)","(57, 17)",
"(33, 23)","(35, 46)","(49, 53)","(74, 49)","(73, 25)","(53, 16)",
"(34, 21)","(35, 46)","(49, 53)","(75, 47)","(73, 25)","(56, 16)",
"(34, 21)","(35, 46)","(55, 54)","(74, 49)","(71, 24)","(57, 17)",
"(36, 26)","(51, 20)","(67, 25)","(71, 46)","(47, 49)","(35, 41)",
"(33, 23)","(35, 46)","(54, 54)","(75, 47)","(75, 28)","(51, 17)",
"(33, 23)","(35, 46)","(54, 54)","(75, 47)","(73, 25)","(57, 17)",
"(33, 23)","(35, 46)","(48, 53)","(74, 49)","(71, 24)","(56, 16)",
"(36, 26)","(52, 20)","(67, 25)","(71, 46)","(47, 49)","(35, 41)",
"(36, 26)","(51, 20)","(67, 25)","(71, 46)","(47, 49)","(35, 41)",
"(36, 26)","(52, 20)","(67, 25)","(71, 46)","(53, 51)","(35, 41)",
"(33, 23)","(35, 46)","(48, 53)","(75, 48)","(73, 25)","(57, 17)",
"(33, 23)","(35, 46)","(49, 53)","(74, 49)","(73, 25)","(57, 17)",
"(33, 23)","(35, 46)","(55, 54)","(74, 49)","(73, 25)","(57, 17)",
"(33, 23)","(35, 46)","(48, 53)","(74, 49)","(73, 25)","(57, 17)",
"(33, 23)","(35, 46)","(49, 53)","(74, 49)","(71, 24)","(57, 17)",
"(33, 23)","(35, 46)","(55, 54)","(74, 49)","(73, 25)","(57, 17)",
"(34, 21)","(35, 46)","(55, 54)","(74, 49)","(73, 25)","(57, 17)",
