"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(51, 27)","(72, 21)","(87, 31)","(87, 45)","(63, 50)","(51, 42)",2025:01:23_22:33,2025:01:23_22:36,190s,1.0,0.0,0.0,0.0
"(71, 17)","(48, 23)","(47, 44)","(64, 54)","(90, 48)","(89, 27)",,,,,,,
"(48, 23)","(51, 47)","(64, 54)","(89, 50)","(87, 25)","(72, 18)",,,,,,,
"(52, 27)","(68, 20)","(87, 31)","(86, 46)","(71, 51)","(51, 42)",,,,,,,
"(49, 22)","(49, 46)","(64, 54)","(91, 48)","(87, 25)","(71, 17)",,,,,,,
"(52, 27)","(70, 20)","(85, 28)","(86, 46)","(71, 51)","(51, 42)",,,,,,,
"(49, 22)","(49, 46)","(64, 54)","(90, 50)","(87, 25)","(71, 17)",,,,,,,
"(50, 28)","(71, 20)","(87, 31)","(87, 45)","(65, 51)","(51, 42)",,,,,,,
"(48, 24)","(52, 48)","(68, 55)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(50, 28)","(72, 21)","(87, 31)","(87, 45)","(65, 51)","(51, 42)",,,,,,,
"(48, 24)","(52, 48)","(68, 55)","(89, 50)","(87, 25)","(73, 18)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(63, 50)","(50, 41)",,,,,,,
"(50, 21)","(52, 48)","(68, 55)","(91, 47)","(87, 25)","(70, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(62, 50)","(50, 41)",,,,,,,
"(51, 27)","(72, 21)","(87, 31)","(87, 45)","(62, 50)","(50, 41)",,,,,,,
"(50, 21)","(50, 47)","(64, 54)","(88, 51)","(87, 25)","(72, 17)",,,,,,,
"(49, 22)","(50, 47)","(68, 55)","(89, 52)","(86, 25)","(71, 17)",,,,,,,
"(49, 22)","(50, 47)","(68, 55)","(89, 52)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(70, 20)","(85, 28)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(49, 22)","(50, 47)","(68, 55)","(89, 50)","(86, 25)","(71, 17)",,,,,,,
"(51, 27)","(70, 20)","(85, 28)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(49, 22)","(50, 47)","(68, 55)","(89, 50)","(86, 25)","(71, 17)",,,,,,,
"(51, 27)","(66, 21)","(86, 29)","(86, 47)","(68, 52)","(50, 40)",,,,,,,
"(49, 22)","(52, 48)","(68, 55)","(89, 50)","(88, 26)","(71, 17)",,,,,,,
"(49, 22)","(52, 48)","(68, 55)","(89, 50)","(88, 26)","(71, 17)",,,,,,,
"(49, 22)","(52, 48)","(65, 55)","(89, 50)","(88, 26)","(71, 17)",,,,,,,
"(51, 27)","(67, 21)","(82, 26)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(49, 23)","(50, 47)","(65, 55)","(89, 50)","(89, 27)","(70, 17)",,,,,,,
"(51, 27)","(76, 23)","(87, 32)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(49, 23)","(50, 47)","(68, 55)","(89, 50)","(89, 27)","(69, 17)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(49, 22)","(50, 47)","(68, 55)","(91, 48)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(49, 22)","(50, 47)","(68, 55)","(91, 48)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(72, 21)","(87, 31)","(87, 45)","(62, 50)","(50, 41)",,,,,,,
"(50, 20)","(50, 47)","(64, 54)","(91, 48)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(66, 21)","(87, 31)","(86, 47)","(62, 50)","(50, 40)",,,,,,,
"(49, 22)","(47, 44)","(64, 54)","(89, 52)","(86, 25)","(69, 17)",,,,,,,
"(50, 20)","(47, 44)","(64, 54)","(89, 52)","(87, 25)","(69, 17)",,,,,,,
"(48, 24)","(52, 48)","(64, 54)","(89, 50)","(87, 25)","(69, 17)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 47)","(71, 51)","(51, 42)",,,,,,,
"(48, 24)","(52, 48)","(64, 54)","(89, 50)","(87, 25)","(70, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 30)","(87, 45)","(65, 51)","(51, 42)",,,,,,,
"(49, 22)","(50, 47)","(66, 55)","(89, 50)","(87, 25)","(70, 17)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 47)","(68, 52)","(50, 41)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 47)","(68, 52)","(50, 41)",,,,,,,
"(49, 23)","(52, 48)","(64, 54)","(91, 48)","(88, 26)","(71, 17)",,,,,,,
"(48, 23)","(50, 47)","(64, 54)","(90, 48)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(73, 21)","(87, 31)","(86, 47)","(68, 52)","(50, 41)",,,,,,,
"(48, 23)","(50, 47)","(64, 54)","(89, 50)","(86, 25)","(71, 17)",,,,,,,
"(51, 27)","(71, 20)","(86, 29)","(87, 46)","(60, 49)","(50, 40)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(89, 50)","(88, 26)","(71, 17)",,,,,,,
"(51, 27)","(70, 20)","(87, 32)","(87, 46)","(60, 49)","(50, 40)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(89, 50)","(88, 26)","(71, 17)",,,,,,,
"(50, 20)","(50, 47)","(66, 55)","(91, 47)","(88, 26)","(71, 17)",,,,,,,
"(50, 20)","(50, 47)","(66, 55)","(91, 47)","(88, 26)","(71, 17)",,,,,,,
"(48, 24)","(50, 47)","(63, 54)","(89, 50)","(88, 26)","(72, 18)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 47)","(60, 49)","(50, 40)",,,,,,,
"(48, 24)","(48, 44)","(60, 53)","(90, 48)","(87, 25)","(72, 18)",,,,,,,
"(51, 27)","(73, 21)","(87, 31)","(86, 47)","(60, 49)","(50, 40)",,,,,,,
"(49, 22)","(50, 47)","(63, 54)","(88, 51)","(87, 25)","(72, 18)",,,,,,,
"(51, 27)","(70, 20)","(86, 29)","(87, 45)","(65, 51)","(50, 41)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(90, 48)","(86, 25)","(70, 17)",,,,,,,
"(50, 29)","(72, 21)","(86, 29)","(87, 45)","(65, 51)","(52, 43)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(90, 48)","(88, 26)","(70, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(65, 51)","(50, 41)",,,,,,,
"(48, 24)","(50, 47)","(68, 55)","(90, 48)","(85, 24)","(71, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(62, 50)","(50, 41)",,,,,,,
"(48, 24)","(50, 47)","(64, 54)","(90, 48)","(85, 24)","(69, 17)",,,,,,,
"(48, 24)","(49, 46)","(65, 55)","(89, 52)","(89, 27)","(71, 17)",,,,,,,
"(48, 24)","(49, 46)","(65, 55)","(89, 50)","(86, 24)","(72, 18)",,,,,,,
"(49, 22)","(48, 45)","(65, 55)","(89, 50)","(87, 25)","(71, 17)",,,,,,,
"(49, 22)","(48, 45)","(65, 55)","(89, 50)","(87, 25)","(70, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(63, 50)","(51, 42)",,,,,,,
"(49, 22)","(48, 45)","(68, 55)","(90, 48)","(87, 25)","(71, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(62, 50)","(50, 40)",,,,,,,
"(48, 24)","(47, 43)","(58, 52)","(89, 50)","(87, 25)","(70, 17)",,,,,,,
"(51, 27)","(72, 21)","(86, 29)","(87, 45)","(62, 50)","(50, 40)",,,,,,,
"(48, 24)","(47, 43)","(58, 52)","(89, 50)","(87, 25)","(70, 17)",,,,,,,
"(70, 20)","(86, 29)","(87, 45)","(68, 52)","(52, 43)","(50, 29)",,,,,,,
"(48, 24)","(48, 43)","(65, 55)","(91, 48)","(86, 24)","(71, 17)",,,,,,,
"(51, 27)","(67, 21)","(87, 31)","(86, 47)","(68, 52)","(51, 42)",,,,,,,
