"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(42, 20)","(59, 14)","(74, 20)","(76, 41)","(57, 45)","(45, 39)",2025:01:24_03:09,2025:01:24_03:11,117s,1.0,0.0,0.0,0.0
"(39, 18)","(42, 41)","(55, 48)","(80, 44)","(78, 19)","(62, 11)",,,,,,,
"(42, 20)","(58, 14)","(73, 20)","(78, 39)","(63, 45)","(41, 35)",,,,,,,
"(42, 20)","(58, 14)","(73, 20)","(78, 39)","(62, 45)","(41, 35)",,,,,,,
"(40, 16)","(40, 40)","(55, 48)","(79, 45)","(78, 19)","(62, 11)",,,,,,,
"(40, 16)","(42, 41)","(55, 48)","(80, 44)","(78, 19)","(62, 11)",,,,,,,
"(40, 16)","(43, 42)","(56, 49)","(82, 42)","(76, 18)","(62, 11)",,,,,,,
"(40, 16)","(43, 42)","(56, 49)","(81, 44)","(76, 18)","(62, 11)",,,,,,,
"(40, 16)","(43, 42)","(56, 49)","(81, 44)","(76, 18)","(62, 11)",,,,,,,
"(42, 21)","(61, 14)","(76, 23)","(78, 39)","(56, 45)","(42, 36)",,,,,,,
"(42, 21)","(61, 14)","(76, 23)","(78, 39)","(56, 45)","(42, 36)",,,,,,,
"(42, 20)","(59, 14)","(73, 20)","(78, 39)","(62, 45)","(41, 35)",,,,,,,
"(42, 20)","(59, 14)","(73, 20)","(78, 39)","(62, 45)","(41, 35)",,,,,,,
"(42, 20)","(59, 14)","(73, 20)","(78, 39)","(62, 45)","(41, 35)",,,,,,,
"(42, 20)","(60, 14)","(73, 20)","(78, 39)","(58, 46)","(41, 35)",,,,,,,
"(42, 20)","(60, 14)","(73, 20)","(78, 39)","(58, 46)","(41, 35)",,,,,,,
"(42, 20)","(59, 14)","(73, 20)","(77, 41)","(53, 44)","(41, 34)",,,,,,,
"(42, 20)","(59, 14)","(73, 20)","(77, 41)","(53, 44)","(41, 34)",,,,,,,
"(41, 13)","(38, 38)","(54, 48)","(80, 44)","(78, 19)","(62, 11)",,,,,,,
"(42, 21)","(63, 15)","(78, 25)","(78, 39)","(56, 45)","(42, 36)",,,,,,,
"(42, 21)","(63, 15)","(78, 25)","(78, 39)","(56, 45)","(42, 36)",,,,,,,
"(42, 20)","(59, 14)","(74, 20)","(78, 39)","(62, 45)","(41, 35)",,,,,,,
"(42, 20)","(59, 14)","(74, 20)","(77, 41)","(56, 45)","(43, 38)",,,,,,,
"(42, 20)","(59, 14)","(74, 20)","(78, 39)","(62, 45)","(41, 35)",,,,,,,
"(42, 20)","(66, 16)","(78, 25)","(78, 39)","(59, 46)","(44, 39)",,,,,,,
"(42, 20)","(66, 16)","(78, 25)","(78, 39)","(53, 44)","(41, 35)",,,,,,,
"(42, 20)","(66, 16)","(77, 24)","(78, 39)","(59, 46)","(41, 34)",,,,,,,
"(42, 20)","(60, 14)","(74, 20)","(78, 39)","(59, 46)","(41, 34)",,,,,,,
"(42, 20)","(61, 14)","(78, 25)","(78, 39)","(62, 45)","(44, 39)",,,,,,,
"(42, 20)","(66, 16)","(78, 25)","(78, 39)","(62, 45)","(41, 35)",,,,,,,
"(42, 20)","(61, 14)","(73, 20)","(78, 39)","(63, 45)","(41, 35)",,,,,,,
"(42, 20)","(59, 14)","(73, 20)","(78, 39)","(63, 45)","(41, 35)",,,,,,,
"(42, 20)","(59, 14)","(73, 20)","(78, 39)","(63, 45)","(41, 35)",,,,,,,
"(42, 21)","(63, 15)","(78, 25)","(78, 39)","(56, 45)","(42, 36)",,,,,,,
"(42, 21)","(63, 15)","(78, 25)","(78, 39)","(56, 45)","(42, 36)",,,,,,,
"(42, 20)","(59, 14)","(73, 20)","(78, 39)","(62, 45)","(44, 39)",,,,,,,
"(42, 20)","(59, 14)","(73, 20)","(78, 39)","(62, 45)","(41, 35)",,,,,,,
"(42, 21)","(61, 14)","(77, 23)","(78, 39)","(56, 45)","(42, 36)",,,,,,,
"(39, 18)","(40, 40)","(55, 48)","(80, 44)","(78, 19)","(62, 11)",,,,,,,
"(42, 21)","(63, 15)","(77, 24)","(78, 39)","(56, 45)","(42, 36)",,,,,,,
"(42, 21)","(65, 16)","(77, 23)","(78, 39)","(56, 45)","(42, 36)",,,,,,,
"(42, 20)","(64, 15)","(77, 24)","(78, 39)","(62, 45)","(41, 35)",,,,,,,
"(42, 20)","(64, 15)","(77, 24)","(78, 39)","(62, 45)","(41, 35)",,,,,,,
"(42, 20)","(64, 15)","(77, 24)","(78, 39)","(62, 45)","(41, 35)",,,,,,,
"(41, 13)","(41, 41)","(55, 48)","(80, 44)","(78, 19)","(62, 11)",,,,,,,
"(41, 13)","(41, 41)","(55, 48)","(80, 44)","(78, 19)","(62, 11)",,,,,,,
"(39, 18)","(41, 41)","(56, 49)","(80, 44)","(77, 19)","(62, 11)",,,,,,,
"(39, 18)","(41, 41)","(56, 49)","(80, 44)","(78, 19)","(62, 11)",,,,,,,
"(40, 15)","(40, 40)","(54, 48)","(80, 44)","(79, 20)","(61, 11)",,,,,,,
"(40, 15)","(40, 40)","(54, 48)","(80, 44)","(76, 18)","(61, 11)",,,,,,,
"(40, 15)","(40, 40)","(54, 48)","(80, 44)","(79, 20)","(61, 11)",,,,,,,
"(39, 17)","(43, 42)","(55, 48)","(80, 44)","(78, 19)","(61, 11)",,,,,,,
"(39, 17)","(43, 42)","(55, 48)","(80, 44)","(78, 19)","(61, 11)",,,,,,,
"(42, 21)","(61, 14)","(76, 23)","(78, 39)","(56, 45)","(41, 35)",,,,,,,
"(42, 21)","(61, 14)","(76, 23)","(78, 39)","(56, 45)","(41, 35)",,,,,,,
"(42, 20)","(59, 14)","(78, 26)","(77, 41)","(56, 45)","(43, 38)",,,,,,,
"(40, 15)","(42, 41)","(57, 49)","(79, 45)","(79, 20)","(62, 11)",,,,,,,
"(42, 20)","(60, 14)","(78, 26)","(78, 39)","(53, 44)","(41, 34)",,,,,,,
"(40, 15)","(38, 37)","(51, 47)","(81, 42)","(77, 18)","(62, 11)",,,,,,,
"(39, 17)","(38, 37)","(55, 48)","(80, 44)","(77, 18)","(62, 11)",,,,,,,
"(61, 14)","(77, 24)","(78, 39)","(59, 46)","(42, 36)","(41, 22)",,,,,,,
"(61, 14)","(77, 24)","(78, 39)","(59, 46)","(42, 36)","(41, 22)",,,,,,,
"(40, 15)","(41, 41)","(55, 48)","(79, 45)","(78, 19)","(60, 11)",,,,,,,
"(42, 20)","(57, 15)","(73, 20)","(78, 39)","(62, 45)","(41, 35)",,,,,,,
"(41, 13)","(38, 38)","(55, 48)","(80, 44)","(78, 19)","(62, 11)",,,,,,,
"(42, 21)","(58, 14)","(74, 20)","(77, 41)","(56, 45)","(44, 39)",,,,,,,
"(42, 21)","(59, 14)","(74, 20)","(77, 41)","(56, 45)","(44, 39)",,,,,,,
"(42, 21)","(59, 14)","(74, 20)","(77, 41)","(56, 45)","(44, 39)",,,,,,,
"(42, 20)","(62, 14)","(77, 23)","(78, 39)","(63, 45)","(41, 35)",,,,,,,
"(42, 20)","(64, 15)","(77, 23)","(78, 39)","(63, 45)","(41, 35)",,,,,,,
"(42, 20)","(57, 15)","(73, 20)","(77, 41)","(51, 43)","(41, 34)",,,,,,,
"(42, 20)","(59, 14)","(73, 20)","(78, 39)","(53, 44)","(41, 34)",,,,,,,
"(42, 20)","(59, 14)","(73, 20)","(78, 39)","(62, 45)","(44, 39)",,,,,,,
"(42, 21)","(59, 14)","(74, 20)","(78, 39)","(54, 44)","(41, 35)",,,,,,,
"(41, 13)","(38, 39)","(55, 48)","(80, 44)","(78, 19)","(62, 11)",,,,,,,
