"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(52, 27)","(52, 51)","(71, 60)","(91, 57)","(89, 29)","(74, 22)",2025:01:24_03:24,2025:01:24_03:24,17s,1.0,0.0,0.0,0.0
"(52, 27)","(54, 52)","(67, 59)","(92, 55)","(90, 30)","(74, 22)",,,,,,,
"(52, 26)","(54, 52)","(71, 60)","(94, 53)","(90, 30)","(74, 22)",,,,,,,
"(52, 26)","(54, 52)","(71, 60)","(94, 53)","(90, 30)","(74, 22)",,,,,,,
"(54, 31)","(73, 25)","(85, 31)","(90, 50)","(65, 55)","(53, 46)",,,,,,,
"(52, 27)","(53, 52)","(67, 59)","(91, 56)","(90, 30)","(74, 22)",,,,,,,
"(54, 31)","(69, 26)","(85, 31)","(90, 50)","(74, 56)","(53, 46)",,,,,,,
"(52, 26)","(54, 53)","(67, 59)","(92, 55)","(89, 29)","(74, 22)",,,,,,,
"(54, 31)","(69, 26)","(85, 31)","(90, 50)","(74, 56)","(53, 46)",,,,,,,
"(51, 29)","(55, 53)","(67, 59)","(92, 55)","(90, 30)","(74, 22)",,,,,,,
"(54, 31)","(73, 25)","(85, 31)","(90, 50)","(75, 56)","(53, 46)",,,,,,,
"(54, 32)","(73, 25)","(89, 35)","(90, 50)","(68, 56)","(54, 47)",,,,,,,
"(54, 32)","(73, 25)","(89, 35)","(90, 50)","(68, 56)","(54, 47)",,,,,,,
"(51, 29)","(53, 52)","(68, 60)","(92, 55)","(92, 31)","(74, 22)",,,,,,,
"(52, 27)","(53, 52)","(68, 60)","(92, 55)","(90, 30)","(74, 22)",,,,,,,
"(52, 27)","(55, 53)","(68, 60)","(93, 54)","(90, 30)","(74, 22)",,,,,,,
"(54, 31)","(73, 25)","(90, 36)","(89, 52)","(65, 55)","(53, 45)",,,,,,,
