"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center
"(49, 30)","(70, 23)","(85, 33)","(85, 48)","(60, 53)","(48, 43)","(66, 38)"
"(49, 30)","(72, 24)","(85, 33)","(85, 48)","(60, 53)","(48, 43)","(66, 38)"
"(49, 30)","(72, 24)","(85, 33)","(85, 48)","(60, 53)","(48, 43)","(66, 38)"
"(49, 30)","(70, 23)","(85, 33)","(85, 48)","(60, 53)","(48, 44)","(66, 38)"
"(49, 30)","(70, 23)","(85, 33)","(85, 48)","(60, 53)","(48, 44)","(66, 38)"
"(49, 30)","(70, 23)","(85, 33)","(85, 48)","(60, 53)","(48, 44)","(66, 38)"
"(48, 31)","(70, 23)","(85, 33)","(85, 48)","(60, 53)","(48, 44)","(66, 38)"
"(49, 30)","(72, 24)","(85, 33)","(85, 48)","(60, 53)","(48, 44)","(66, 38)"
"(49, 30)","(70, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(70, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(69, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(70, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
"(49, 30)","(70, 23)","(85, 33)","(85, 48)","(61, 53)","(49, 45)","(66, 38)"
