"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(40, 44)","(61, 37)","(75, 45)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",2025:01:24_18:05,2025:01:24_22:39,16439s,1.0,0.0,0.0,0.0
"(40, 44)","(61, 37)","(75, 45)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(40, 44)","(63, 38)","(76, 47)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(40, 44)","(65, 39)","(76, 47)","(76, 63)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(76, 47)","(76, 63)","(54, 68)","(40, 59)","(57, 52)",,,,,,,
"(40, 44)","(56, 37)","(73, 43)","(76, 63)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(40, 44)","(61, 37)","(75, 45)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(40, 44)","(63, 38)","(76, 47)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(61, 33)","(37, 40)","(38, 62)","(54, 71)","(79, 65)","(77, 43)","(57, 52)",,,,,,,
"(40, 44)","(56, 37)","(72, 43)","(76, 63)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(39, 45)","(60, 37)","(76, 47)","(76, 63)","(54, 68)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 63)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(76, 47)","(76, 63)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(40, 44)","(57, 37)","(74, 44)","(76, 63)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(40, 44)","(61, 37)","(76, 47)","(76, 63)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(39, 45)","(60, 37)","(75, 45)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(75, 45)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(40, 43)","(63, 38)","(76, 47)","(76, 62)","(58, 69)","(39, 57)","(57, 52)",,,,,,,
"(39, 44)","(61, 37)","(76, 47)","(76, 62)","(54, 68)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 63)","(54, 68)","(40, 59)","(57, 52)",,,,,,,
"(40, 44)","(65, 39)","(76, 47)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(40, 44)","(61, 37)","(75, 45)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(40, 44)","(63, 38)","(76, 47)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(60, 37)","(76, 47)","(76, 63)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(60, 37)","(76, 47)","(76, 63)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(40, 44)","(61, 37)","(76, 47)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(40, 44)","(57, 37)","(71, 42)","(76, 63)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(40, 44)","(57, 37)","(76, 47)","(76, 63)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(40, 44)","(65, 39)","(76, 47)","(76, 63)","(58, 69)","(39, 57)","(57, 52)",,,,,,,
"(40, 44)","(57, 37)","(76, 47)","(76, 63)","(58, 69)","(39, 57)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(75, 46)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(76, 47)","(76, 62)","(54, 68)","(39, 58)","(57, 52)",,,,,,,
"(40, 44)","(57, 37)","(71, 42)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(76, 47)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(40, 44)","(63, 38)","(75, 45)","(76, 63)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
