x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,Center_x,Center_y,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
15,26,37,19,51,28,52,43,26,48,15,40,33,34,6.8 km/h,2025:01:26_12:02,2025:01:26_12:02,26s,1.0,0.0,0.0,0.0
16,24,30,19,47,24,52,44,26,48,15,40,33,34,6.8 km/h,,,,,,,
16,24,42,21,51,29,51,45,32,50,19,44,33,34,6.8 km/h,,,,,,,
13,22,17,46,28,52,54,47,51,23,36,16,33,34,6.8 km/h,,,,,,,
16,24,30,19,47,24,51,45,29,49,19,44,33,34,6.8 km/h,,,,,,,
16,24,31,19,47,24,52,44,26,48,15,39,33,34,6.8 km/h,,,,,,,
16,24,30,19,47,24,51,45,24,47,15,40,33,34,6.8 km/h,,,,,,,
16,24,30,19,47,24,51,45,32,50,19,44,33,34,6.8 km/h,,,,,,,
16,24,42,21,51,29,51,45,32,50,19,44,33,34,6.8 km/h,,,,,,,
16,24,30,19,47,24,51,45,32,50,19,44,33,34,6.8 km/h,,,,,,,
16,24,34,18,47,24,51,45,32,50,19,44,33,34,6.8 km/h,,,,,,,
16,24,30,19,47,24,51,45,32,50,19,44,33,34,6.8 km/h,,,,,,,
16,24,30,19,47,24,51,45,32,50,19,44,33,34,6.8 km/h,,,,,,,
16,24,30,19,47,24,51,45,32,50,19,44,33,34,6.8 km/h,,,,,,,
16,24,42,21,51,29,51,45,32,50,19,44,33,34,6.8 km/h,,,,,,,
16,24,42,21,51,29,51,45,32,50,19,44,33,34,6.8 km/h,,,,,,,
