x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,Center_x,Center_y,Wind Speed
34,35,48,30,65,35,69,56,48,60,37,55,51,45,6.8 km/h
34,35,48,30,65,35,69,56,51,61,33,51,51,45,6.8 km/h
34,35,48,30,65,35,69,56,50,61,37,55,51,45,6.8 km/h
34,35,60,32,69,40,69,56,50,61,33,51,51,45,6.8 km/h
34,35,49,30,65,35,69,56,50,61,37,55,51,45,6.8 km/h
34,35,48,30,65,35,69,56,47,60,37,55,51,45,6.8 km/h
34,35,48,30,65,35,69,56,50,61,37,55,51,45,6.8 km/h
34,35,48,30,65,35,69,56,50,61,37,55,51,45,6.8 km/h
31,33,33,56,47,63,72,58,69,33,54,27,51,45,6.8 km/h
31,33,30,52,42,61,72,58,69,33,54,27,51,45,6.8 km/h
34,35,48,30,65,35,69,56,55,60,33,51,51,45,6.8 km/h
34,35,48,30,65,35,69,56,50,61,37,55,51,45,6.8 km/h
33,37,55,30,69,39,70,54,47,60,33,51,51,45,6.8 km/h
31,33,33,56,47,63,72,58,69,33,56,27,51,45,6.8 km/h
31,33,33,56,47,63,72,59,70,34,55,27,51,45,6.8 km/h
34,35,58,31,69,39,70,54,44,59,33,51,51,45,6.8 km/h
33,37,55,30,69,39,70,54,47,60,33,51,51,45,6.8 km/h
34,35,48,30,64,34,70,54,43,58,33,50,51,44,6.8 km/h
33,37,55,30,69,39,70,55,47,60,34,52,51,45,6.8 km/h
31,33,33,56,47,63,71,60,69,33,55,27,51,45,6.8 km/h
31,33,33,56,47,63,72,58,69,33,55,27,51,45,6.8 km/h
31,33,33,56,47,63,72,59,69,33,55,27,51,45,6.8 km/h
33,37,55,30,69,39,70,54,47,60,33,51,51,45,6.8 km/h
31,32,33,56,47,63,71,60,69,33,54,26,51,45,6.8 km/h
34,35,48,30,65,35,70,54,56,60,33,51,51,45,6.8 km/h
31,33,33,56,47,63,71,60,69,33,54,27,51,45,6.8 km/h
34,35,60,32,69,40,70,54,54,60,33,51,51,45,6.8 km/h
34,35,48,30,63,34,70,54,55,60,33,51,51,45,6.8 km/h
