x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,Center_x,Center_y,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
26,26,42,20,57,25,62,45,45,51,29,45,43,35,7.4 km/h,2025:01:26_13:35,2025:01:26_13:44,548s,1.0,0.0,0.0,0.0
25,28,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,48,20,62,30,62,45,36,49,26,42,43,35,7.4 km/h,,,,,,,
26,26,42,20,57,25,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,26,42,20,57,25,62,45,36,49,25,40,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,45,38,50,25,41,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,39,50,25,41,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,45,38,50,25,41,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,45,38,50,25,41,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,45,38,50,25,41,43,35,7.4 km/h,,,,,,,
26,27,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,27,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,39,50,26,42,43,35,7.4 km/h,,,,,,,
26,26,42,20,57,25,62,45,46,51,29,45,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,45,38,50,25,41,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,25,41,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,45,38,50,25,41,43,35,7.4 km/h,,,,,,,
26,27,50,21,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,27,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,27,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,27,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,27,47,20,61,28,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,37,49,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,46,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,46,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,46,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,27,50,21,62,30,62,45,41,51,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,45,38,50,25,41,43,35,7.4 km/h,,,,,,,
26,26,42,20,57,25,62,45,36,49,25,41,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,29,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,29,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,29,62,45,36,49,25,41,43,35,7.4 km/h,,,,,,,
26,26,42,20,57,25,62,45,36,49,25,40,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,46,38,50,25,41,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,25,41,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,45,38,50,25,41,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,45,41,51,25,41,43,35,7.4 km/h,,,,,,,
26,27,47,20,61,28,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
24,24,27,47,44,54,64,49,63,25,50,17,43,35,7.4 km/h,,,,,,,
26,27,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,27,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,26,42,20,57,25,62,45,36,49,25,40,43,35,7.4 km/h,,,,,,,
26,26,42,20,57,25,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,26,42,20,57,25,62,45,45,51,29,45,43,35,7.4 km/h,,,,,,,
26,26,42,20,62,30,62,45,36,49,25,40,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,25,41,43,35,7.4 km/h,,,,,,,
26,27,48,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,26,42,20,57,25,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,26,42,20,57,25,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,61,28,62,45,37,49,26,42,43,35,7.4 km/h,,,,,,,
26,27,42,20,57,25,62,46,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,27,42,20,57,25,62,46,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,27,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,36,49,26,42,43,35,7.4 km/h,,,,,,,
26,27,48,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
26,27,47,20,62,30,62,45,38,50,25,41,43,35,7.4 km/h,,,,,,,
25,28,47,20,62,30,62,45,38,50,25,41,43,35,7.4 km/h,,,,,,,
26,27,47,20,62,30,62,45,38,50,26,42,43,35,7.4 km/h,,,,,,,
