"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed
"(23, 34)","(30, 59)","(45, 66)","(61, 55)","(56, 39)","(45, 32)","(40, 47)",9.4 km/h
"(24, 34)","(30, 59)","(47, 66)","(60, 57)","(54, 37)","(40, 30)","(41, 47)",9.4 km/h
"(26, 36)","(38, 32)","(51, 38)","(57, 55)","(46, 63)","(32, 57)","(41, 47)",9.4 km/h
"(26, 36)","(38, 32)","(56, 44)","(57, 55)","(46, 63)","(32, 57)","(41, 47)",9.4 km/h
"(26, 36)","(39, 32)","(51, 38)","(57, 55)","(46, 63)","(32, 57)","(41, 47)",9.4 km/h
"(38, 32)","(51, 38)","(58, 54)","(46, 63)","(32, 57)","(24, 40)","(41, 47)",9.4 km/h
"(26, 36)","(38, 32)","(49, 37)","(58, 53)","(46, 63)","(32, 57)","(40, 47)",9.4 km/h
"(26, 36)","(38, 32)","(55, 42)","(57, 55)","(46, 63)","(32, 57)","(41, 47)",9.4 km/h
"(23, 34)","(30, 59)","(45, 66)","(61, 55)","(54, 37)","(38, 29)","(40, 47)",9.4 km/h
"(23, 34)","(29, 59)","(47, 66)","(61, 55)","(54, 37)","(38, 29)","(40, 47)",9.4 km/h
"(26, 36)","(39, 32)","(51, 38)","(57, 55)","(46, 63)","(32, 57)","(41, 47)",9.4 km/h
"(26, 36)","(39, 32)","(50, 37)","(57, 55)","(46, 63)","(32, 57)","(41, 47)",9.4 km/h
"(23, 34)","(31, 60)","(47, 66)","(61, 55)","(54, 37)","(38, 29)","(40, 47)",9.4 km/h
"(23, 34)","(29, 59)","(47, 66)","(61, 55)","(54, 37)","(38, 29)","(40, 47)",9.4 km/h
"(26, 36)","(36, 32)","(55, 42)","(57, 55)","(46, 63)","(32, 57)","(41, 47)",9.4 km/h
"(23, 34)","(28, 58)","(48, 65)","(61, 55)","(54, 37)","(38, 29)","(40, 47)",9.4 km/h
"(23, 34)","(28, 58)","(48, 65)","(61, 55)","(54, 37)","(38, 29)","(40, 47)",9.4 km/h
"(22, 35)","(30, 59)","(47, 66)","(61, 55)","(55, 37)","(41, 30)","(41, 47)",9.4 km/h
"(22, 35)","(30, 59)","(49, 65)","(61, 55)","(55, 37)","(41, 30)","(41, 47)",9.4 km/h
