"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Wind Speed,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(47, 73)","(53, 98)","(70, 105)","(83, 96)","(79, 77)","(63, 69)","(64, 86)",9.7 km/h,2025:01:26_15:07,2025:01:26_15:07,50s,30.0,0.0,0.0,5.0
"(47, 73)","(53, 98)","(71, 105)","(83, 96)","(79, 77)","(64, 69)","(64, 86)",9.7 km/h,,,,,,,
"(46, 74)","(53, 98)","(71, 105)","(83, 96)","(77, 76)","(63, 69)","(64, 86)",9.7 km/h,,,,,,,
"(46, 74)","(53, 98)","(71, 105)","(83, 96)","(77, 76)","(63, 69)","(64, 86)",9.7 km/h,,,,,,,
"(46, 74)","(53, 98)","(70, 105)","(83, 96)","(77, 76)","(63, 69)","(64, 86)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(71, 104)","(83, 95)","(77, 76)","(61, 68)","(64, 86)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(71, 104)","(83, 95)","(77, 76)","(61, 68)","(63, 85)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(70, 104)","(83, 95)","(77, 76)","(61, 68)","(63, 85)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(70, 104)","(83, 95)","(77, 76)","(61, 68)","(63, 85)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(71, 104)","(84, 94)","(79, 78)","(70, 72)","(63, 86)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(71, 105)","(83, 96)","(77, 76)","(63, 69)","(64, 86)",9.7 km/h,,,,,,,
"(47, 73)","(53, 98)","(71, 105)","(83, 96)","(77, 76)","(63, 69)","(64, 86)",9.7 km/h,,,,,,,
"(61, 71)","(74, 77)","(80, 94)","(69, 102)","(55, 96)","(47, 78)","(64, 86)",9.7 km/h,,,,,,,
"(49, 75)","(58, 71)","(71, 75)","(81, 92)","(69, 102)","(55, 96)","(64, 85)",9.7 km/h,,,,,,,
"(49, 75)","(58, 71)","(71, 75)","(81, 92)","(69, 102)","(55, 96)","(64, 85)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(71, 104)","(84, 94)","(79, 78)","(59, 68)","(63, 85)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(71, 104)","(84, 94)","(79, 78)","(59, 68)","(63, 86)",9.7 km/h,,,,,,,
"(62, 71)","(71, 75)","(81, 93)","(70, 102)","(55, 96)","(47, 78)","(64, 86)",9.7 km/h,,,,,,,
"(45, 74)","(53, 98)","(70, 105)","(83, 96)","(79, 77)","(63, 69)","(64, 86)",9.7 km/h,,,,,,,
"(47, 73)","(53, 98)","(70, 105)","(83, 96)","(77, 76)","(63, 69)","(64, 86)",9.7 km/h,,,,,,,
"(47, 73)","(53, 98)","(70, 105)","(83, 96)","(77, 76)","(63, 69)","(64, 86)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(71, 104)","(84, 94)","(79, 78)","(61, 68)","(63, 86)",9.7 km/h,,,,,,,
"(49, 75)","(62, 71)","(73, 76)","(80, 94)","(69, 102)","(55, 96)","(64, 86)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(70, 104)","(83, 95)","(77, 76)","(61, 68)","(63, 85)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(71, 104)","(84, 94)","(79, 78)","(59, 68)","(63, 86)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(70, 105)","(84, 94)","(79, 78)","(59, 68)","(63, 86)",9.7 km/h,,,,,,,
"(60, 71)","(73, 76)","(81, 93)","(70, 102)","(55, 96)","(47, 79)","(64, 86)",9.7 km/h,,,,,,,
"(47, 73)","(53, 98)","(71, 105)","(83, 96)","(79, 77)","(63, 69)","(64, 86)",9.7 km/h,,,,,,,
"(47, 73)","(53, 98)","(71, 105)","(83, 96)","(79, 77)","(63, 69)","(64, 86)",9.7 km/h,,,,,,,
"(47, 73)","(53, 98)","(71, 105)","(83, 96)","(79, 77)","(63, 69)","(64, 86)",9.7 km/h,,,,,,,
"(49, 75)","(61, 71)","(73, 76)","(80, 94)","(69, 102)","(55, 96)","(64, 86)",9.7 km/h,,,,,,,
"(46, 73)","(53, 98)","(71, 104)","(83, 95)","(77, 76)","(63, 69)","(63, 86)",9.7 km/h,,,,,,,
