x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,Center_x,Center_y,Wind Speed,Start Time,Stop Time,Duration,FPS,Moved Warning,Not detected Warning,Wind Warning
47,66,68,92,54,87,78,84,56,62,66,47,62,76,4.1 km/h,2025:01:28_02:11,2025:01:28_02:12,50s,1.0,0.0,0.0,0.0
46,67,67,92,54,87,77,85,56,62,67,46,62,76,4.1 km/h,,,,,,,
47,66,68,92,54,87,78,84,59,62,66,47,62,76,4.1 km/h,,,,,,,
45,69,65,92,68,65,78,83,55,63,69,45,62,76,4.1 km/h,,,,,,,
47,66,67,92,54,87,78,84,59,62,66,47,62,76,4.1 km/h,,,,,,,
47,66,68,92,54,87,78,84,58,62,66,47,62,76,4.1 km/h,,,,,,,
42,65,63,95,48,86,83,84,61,59,65,42,62,76,4.1 km/h,,,,,,,
42,64,68,96,53,90,81,87,60,59,64,42,62,76,4.1 km/h,,,,,,,
48,66,67,92,52,86,78,84,58,62,66,48,62,76,4.1 km/h,,,,,,,
45,63,68,96,50,88,81,87,60,59,63,45,62,76,4.1 km/h,,,,,,,
43,64,69,95,50,88,82,86,59,58,64,43,62,76,4.1 km/h,,,,,,,
45,63,67,96,51,89,82,86,60,59,63,45,62,76,4.1 km/h,,,,,,,
46,68,67,92,54,87,78,85,56,62,68,46,62,76,4.1 km/h,,,,,,,
43,64,68,96,51,89,81,87,60,59,64,43,62,76,4.1 km/h,,,,,,,
45,69,62,91,50,83,78,85,57,62,69,45,62,76,4.1 km/h,,,,,,,
45,69,64,92,50,83,78,85,62,63,69,45,62,76,4.1 km/h,,,,,,,
45,63,69,95,51,89,82,86,59,59,63,45,62,76,4.1 km/h,,,,,,,
