x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,Center_x,Center_y,Wind Speed
31,60,55,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,55,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,55,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,55,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
30,55,53,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,69,76,46,50,55,30,48,67,4.3 km/h
31,54,54,87,37,80,69,76,46,50,54,31,48,67,4.3 km/h
32,59,54,83,55,57,65,74,42,53,59,32,48,67,4.3 km/h
32,59,48,82,36,74,64,75,42,53,59,32,48,67,4.3 km/h
32,59,48,82,36,74,64,75,42,53,59,32,48,67,4.3 km/h
32,59,48,82,36,74,64,75,42,53,59,32,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,53,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,53,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
32,59,53,83,36,74,64,75,42,53,59,32,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,52,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,52,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,68,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,68,4.3 km/h
31,60,54,83,40,78,64,76,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,76,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,76,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,76,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,76,45,53,53,45,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,55,86,37,80,68,76,46,50,54,31,48,67,4.3 km/h
31,54,53,87,37,80,67,78,47,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
31,54,54,87,37,80,67,78,46,50,54,31,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
30,55,54,87,37,80,68,77,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,68,77,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,68,77,46,50,55,30,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,40,78,64,75,45,53,53,45,48,67,4.3 km/h
31,60,54,83,39,78,64,75,45,53,53,45,48,67,4.3 km/h
30,55,52,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
33,57,55,83,40,78,64,75,46,53,57,33,48,67,4.3 km/h
30,55,54,87,39,81,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,39,81,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,39,81,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,39,81,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,39,81,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,47,50,55,30,48,67,4.3 km/h
30,55,54,87,39,81,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,39,81,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,39,81,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,39,81,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,39,81,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,39,81,67,78,46,50,55,30,48,67,4.3 km/h
30,55,56,86,37,80,67,78,46,50,55,30,48,67,4.3 km/h
31,60,50,83,64,76,65,64,43,53,60,31,48,67,4.3 km/h
31,60,50,83,64,76,65,64,43,53,60,31,48,67,4.3 km/h
30,55,56,86,37,80,67,78,45,50,55,30,48,67,4.3 km/h
31,60,54,83,36,74,65,75,51,55,60,31,48,67,4.3 km/h
30,55,54,87,39,81,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,39,81,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,39,81,67,78,46,50,55,30,48,67,4.3 km/h
31,60,54,83,36,74,65,75,49,54,60,31,48,67,4.3 km/h
31,60,54,83,36,74,65,75,49,54,60,31,48,67,4.3 km/h
31,60,54,83,36,74,64,75,49,54,60,31,48,67,4.3 km/h
31,60,54,83,36,74,64,75,49,54,60,31,48,67,4.3 km/h
31,60,54,83,36,74,64,75,49,54,60,31,48,67,4.3 km/h
31,60,54,83,36,74,64,75,49,54,60,31,48,67,4.3 km/h
31,60,54,83,36,74,64,75,49,54,60,31,48,67,4.3 km/h
30,55,53,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,53,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,56,86,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,55,86,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,55,86,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,55,86,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,45,50,55,30,48,67,4.3 km/h
31,60,55,83,38,77,65,75,46,53,53,46,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
30,55,54,87,37,80,68,76,51,52,55,30,48,68,4.3 km/h
33,57,54,83,40,78,64,75,46,53,57,33,48,67,4.3 km/h
33,57,54,83,40,78,64,75,46,53,57,33,48,67,4.3 km/h
33,57,54,83,40,78,64,75,46,53,57,33,48,67,4.3 km/h
33,57,54,83,40,78,64,75,46,53,57,33,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,68,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,68,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,68,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
31,60,54,83,40,78,64,75,46,53,53,46,48,67,4.3 km/h
28,55,54,87,33,75,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,33,75,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,33,75,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,33,75,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,33,75,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,33,75,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,37,80,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,54,87,39,81,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,37,80,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,37,80,67,78,46,50,55,28,48,67,4.3 km/h
28,55,55,86,37,80,67,78,46,50,55,28,48,67,4.3 km/h
28,56,55,86,37,80,67,78,46,50,56,28,48,67,4.3 km/h
28,56,55,86,37,80,67,78,46,50,56,28,48,67,4.3 km/h
28,56,55,86,37,80,67,78,46,50,56,28,48,67,4.3 km/h
28,56,55,86,37,80,67,78,46,50,56,28,48,67,4.3 km/h
28,56,55,86,37,80,67,78,46,50,56,28,48,67,4.3 km/h
28,56,55,86,37,80,67,78,46,50,56,28,48,67,4.3 km/h
31,60,54,83,41,79,64,75,43,53,60,31,48,67,4.3 km/h
30,55,54,86,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,45,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
31,60,54,83,41,79,65,75,46,53,60,31,48,67,4.3 km/h
31,60,54,83,41,79,65,75,46,53,60,31,48,67,4.3 km/h
31,60,54,83,41,79,65,75,46,53,60,31,48,67,4.3 km/h
31,60,54,83,41,79,65,75,46,53,60,31,48,67,4.3 km/h
31,60,54,83,41,79,65,75,46,53,60,31,48,67,4.3 km/h
31,60,54,83,41,79,65,75,46,53,60,31,48,67,4.3 km/h
31,60,54,83,41,79,65,75,46,53,60,31,48,67,4.3 km/h
31,60,54,83,41,79,65,75,46,53,60,31,48,67,4.3 km/h
31,60,50,83,36,74,65,75,46,53,60,31,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
30,55,54,87,37,80,67,78,46,50,55,30,48,67,4.3 km/h
31,60,50,83,36,74,65,75,46,53,60,31,48,67,4.3 km/h
